date_post,date_extraction,influencer,post_type,post_url,platform,comment,comment_likecount,replies,BU;;;;;;;;;
"2021-9-26,2021-12-01,ryanmarksutherland,VIDEO,https://www.tiktok.com/@ryanmarksutherland/video/7012400629788265733?is_from_webapp=v1&lang=en,TikTok,""I love your videos so much, I cant believe I'm this early!!!!!"",8,,CS";;;;;;;;;
2021-9-26,2021-12-01,ryanmarksutherland,VIDEO,https://www.tiktok.com/@ryanmarksutherland/video/7012400629788265733?is_from_webapp=v1&lang=en,TikTok,MANS😍 STARE AT MI ACCOUNT 😳🙈🙈,82,,CS;;;;;;;;;
2021-9-26,2021-12-01,ryanmarksutherland,VIDEO,https://www.tiktok.com/@ryanmarksutherland/video/7012400629788265733?is_from_webapp=v1&lang=en,TikTok,earlyyyyy,12,,CS;;;;;;;;;
2021-9-2,2021-12-01,itssozer,VIDEO,https://www.tiktok.com/@itssozer/video/7003502008355278082?lang=en&is_copy_url=1&is_from_webapp=v1,TikTok,Ayyyy legend,50,,CS;;;;;;;;;
2021-9-2,2021-12-01,itssozer,VIDEO,https://www.tiktok.com/@itssozer/video/7003502008355278082?lang=en&is_copy_url=1&is_from_webapp=v1,TikTok,Are you serious,8,,CS;;;;;;;;;
2021-9-2,2021-12-01,itssozer,VIDEO,https://www.tiktok.com/@itssozer/video/7003502008355278082?lang=en&is_copy_url=1&is_from_webapp=v1,TikTok,Yes it's college but it's called university,9,,CS;;;;;;;;;
2021-9-2,2021-12-01,itssozer,VIDEO,https://www.tiktok.com/@itssozer/video/7003502008355278082?lang=en&is_copy_url=1&is_from_webapp=v1,TikTok,Your such an amazing person 😁,33,,CS;;;;;;;;;
2021-9-21,2021-12-01,thatrelatablestudent,VIDEO,https://www.tiktok.com/@thatrelatablestudent/video/7010543731241733382?lang=en&is_copy_url=1&is_from_webapp=v1,TikTok,Cappp it to get 2 days for a freaking reply,15,,CS;;;;;;;;;
2021-9-21,2021-12-01,thatrelatablestudent,VIDEO,https://www.tiktok.com/@thatrelatablestudent/video/7010543731241733382?lang=en&is_copy_url=1&is_from_webapp=v1,TikTok,soooo how much bread did you get with this collab,46,,CS;;;;;;;;;
2021-10-16,2021-12-01,lexistrechak,VIDEO,https://www.tiktok.com/foryou?is_from_webapp=v1&item_id=7019443237479861509&lang=en#/@lexistrechak/video/7019443237479861509,TikTok,4 people can’t be first for god sake,10,,CS;;;;;;;;;
2021-10-16,2021-12-01,lexistrechak,VIDEO,https://www.tiktok.com/foryou?is_from_webapp=v1&item_id=7019443237479861509&lang=en#/@lexistrechak/video/7019443237479861509,TikTok,So I’m the only one that cries on the first day of class Bc stress? Ok 🥲,14,,CS;;;;;;;;;
"2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,""It’s mostly either fatty liver or thyroid/parathyroid, both of which can cause extreme tiredness."",0,,CS";;;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Important topic,0,,CS;;;;;;;;;
2021-10-14,2021-12-15,JJ Medicine,VIDEO,https://www.youtube.com/watch?v=FwiaoKrdzx4,Youtube,Have had this for four months I am hoping by month 5 or 6 it will be completely gone I have improved  a little. 21 year old male,0,,CS;;;;;;;;;
